GCMD Keyword Last Word,Paramater Vocab,Note
ABLATION ZONES/ACCUMULATION ZONES,,Needs mapping
ABSOLUTE SALINITY,Salinity,
ABSORPTION,Optical properties,
ABYSSAL HILLS/PLAINS,Uncategorised,
ACCELEROMETERS,Uncategorised,
ACE/CRC,Uncategorised,
ACID DEPOSITION,Physical-Water,
ACORN WORMS,Ocean Biota,
ACOUSTIC ATTENUATION/TRANSMISSION,Acoustics,
ACOUSTIC DOPPLER CURRENT PROFILER,Uncategorised,
ACOUSTIC FREQUENCY,Acoustics,
ACOUSTIC MOORING,Uncategorised,
ACOUSTIC RECEIVERS,Uncategorised,
ACOUSTIC RECORDING PACKAGE,Uncategorised,
ACOUSTIC REFLECTIVITY,Acoustics,
ACOUSTIC SCATTERING,Acoustics,
ACOUSTIC SOUNDERS,Uncategorised,
ACOUSTIC TOMOGRAPHY,Uncategorised,
ACOUSTIC VELOCITY,Acoustics,
ACTIVE LAYER,,Needs mapping
ADAPTATION,Biological,
ADELIE LAND,Uncategorised,
ADMINISTRATIVE DIVISIONS,Uncategorised,
ADVANCED MICROWAVE SCANNING RADIOMETER 2,Uncategorised,
ADVANCED SCATTEROMETER,Uncategorised,
ADVANCED SPACEBORNE THERMAL EMISSION AND REFLECTION RADIOMETER,Uncategorised,
ADVANCED SYNTHETIC APERATURE RADAR,Uncategorised,
ADVANCED VERY HIGH RESOLUTION RADIOMETER,Uncategorised,
ADVECTION,Current,
AERIAL PHOTOGRAPHS,Uncategorised,
AEROSOL BACKSCATTER,,Needs mapping
AEROSOL MASS SPECTROMETER,Uncategorised,
AEROSOL OPTICAL DEPTH/THICKNESS,,Needs mapping
AEROSOL PARTICLE PROPERTIES,,Needs mapping
AEROSOL RADIANCE,,Needs mapping
AEROSOLS,,Needs mapping
AFFORESTATION/REFORESTATION,Uncategorised,
AGE DETERMINATIONS,,Needs mapping ??
AGRICULTURAL AQUATIC SCIENCES,Uncategorised,
AGRICULTURAL ECONOMICS,Uncategorised,
AGRICULTURAL EXPANSION,Uncategorised,
AGRICULTURAL LANDS,Uncategorised,
AGRICULTURE PRODUCTION,Uncategorised,
AIR PRESSURE SENSOR,Uncategorised,
AIR QUALITY,,Needs mapping
AIR TEMPERATURE,Uncategorised,
AIRBORNE LASER SCANNER,Uncategorised,
AIRBORNE SYNTHETIC APERTURE RADAR,Uncategorised,
AIRCRAFT,Uncategorised,
AIRGUN ARRAYS,Uncategorised,
AIRSPEED/GROUND SPEED,Uncategorised,
ALBANY,Uncategorised,
ALBATROSS ISLET,Uncategorised,
ALBATROSSES/PETRELS AND ALLIES,Ocean Biota,
ALBEDO,,Needs mapping
ALGAE,Ocean Biota,
ALKALINITY,Alkalinity,
ALL ANARE SHIPS,Uncategorised,
ALLIGATORS/CROCODILES,Ocean Biota,
ALL-SKY CAMERA,Uncategorised,
ALPHA-SPECTROMETERS,Uncategorised,
ALPINE/TUNDRA,Uncategorised,
ALTIMETERS,Uncategorised,
ALTITUDE,Uncategorised,
AMANDA BAY,Uncategorised,
AMBIENT NOISE,Acoustics,
AMD,Uncategorised,
AMD/AU,Uncategorised,
AMD/FR,Uncategorised,
AMD/JP,Uncategorised,
AMD/SCAR-MARBIN,Uncategorised,
AMD/US,Uncategorised,
AMERY ICE SHELF,Uncategorised,
AMERY OASIS,Uncategorised,
AMMONIA,Nutrient,
AMOEBAS,Ocean Biota,
AMPHIBIANS,Ocean Biota,
AMPHIPODS,Ocean Biota,
AMUNDSEN BAY,Uncategorised,
ANCHOVIES/HERRINGS,Ocean Biota,
ANEMOMETERS,Uncategorised,
ANEMONES,Ocean Biota,
ANGIOSPERMS (FLOWERING PLANTS),Uncategorised,
"ANGIOSPERMS, SEAGRASS, HALOPHILA, CYMODOCEA, HALODULE, BENTHIC HABITAT, POPULATION DYNAMICS, GENETIC DIVERSITY, CONNECTIVITY, PILBARA",Uncategorised,
ANIMAL BREEDING AND GENETICS,Biological,
ANIMAL ECOLOGY AND BEHAVIOR,Biological,
ANIMAL MANAGEMENT SYSTEMS,Biological,
ANIMAL PHYSIOLOGY AND BIOCHEMISTRY,Biological,
ANIMALS/INVERTEBRATES,Biological,
ANIMALS/VERTEBRATES,Biological,
ANTABIF,Uncategorised,
ANTARCTIC CLIMATE RESEARCH,Uncategorised,
ANTARCTIC OSCILLATION,Uncategorised,
ANTARCTIC OSCILLATION (AAO),Uncategorised,
ANTARCTIC PENINSULA,Uncategorised,
ANTARCTIC SEA ICE PROCESSES AND CLIMATE,,Needs mapping
ANTARCTICA,Uncategorised,
ANTHOZOANS/HEXACORALS,Ocean Biota,
ANTHOZOANS/OCTOCORALS,Ocean Biota,
ANTHROPOGENIC/HUMAN INFLUENCED ECOSYSTEMS,Uncategorised,
ANTICYCLONES/CYCLONES,Physical-Atmosphere,
APHOTIC/PHOTIC ZONE,Optical properties,
AQUACULTURE,Uncategorised,
AQUACULTURE PRODUCTION,Uncategorised,
AQUATIC ECOSYSTEMS,Uncategorised,
AQUATIC HABITAT,,Needs mapping
AQUATIC SCIENCES,Uncategorised,
AQUIFERS,Uncategorised,
ARACHNIDS,Biological,
ARCHAEAN,Uncategorised,
ARCTIC,Uncategorised,
ARCTIC OCEAN,Uncategorised,
